,Profits,MonthlyVar
0,99.50820444,363871.9855
1,95.84782757,328491.7585
2,99.26378599,359842.0381
3,99.02041696,350838.8453
4,96.70522046,331042.9002
5,96.03989976,330047.3017
6,96.90478438,333984.0057
7,99.2870565,362868.933
8,97.19495622,334258.6429
9,98.2264348,341847.3597
10,98.89418026,348648.5717
11,98.64041282,348348.3255
12,97.42354215,337299.9531
13,97.93954879,341310.6715
14,97.59474997,337355.1577
15,98.33374619,345208.9241
16,98.29225924,343533.624
17,97.66538633,338269.2177
18,97.81086527,340251.1141
19,98.4376182,345324.6387
20,98.56826113,345414.5869
21,98.25817323,342955.0097
22,97.91776854,340736.0157
23,97.2397171,335649.4416
24,98.57342609,346348.2549
25,97.37420672,336054.7819
26,98.58667672,347329.4394
27,98.90800775,349607.4435
28,97.71693482,339044.3522
29,98.63861885,347610.4895
30,97.77067156,339626.743
31,98.94415147,350570.2125
32,98.91886496,350293.9117
33,97.7361316,339442.6424
34,97.32196075,335903.9452
35,97.93838192,341276.4726
36,97.25918127,335871.3319
37,97.35692612,335923.2152
38,97.2586013,335814.2936
39,96.03989976,330047.3017
40,98.94415147,350570.2125
41,98.25817323,342955.0097
42,99.47677367,364082.4247
43,95.69954691,329156.087
44,99.25190204,360032.3212
45,98.96167453,354738.9169
46,99.28699801,362870.9178
47,98.92655032,352863.6613
48,98.82296239,349261.2625
49,97.41959217,337454.7597
50,97.08500952,334567.9578
51,96.63760909,333673.1205
52,96.3308387,331569.1277
53,97.63427259,338652.2165
54,98.58058554,348309.9045
55,98.62462397,348808.3429
56,96.86858637,334391.8523
57,96.4925989,332913.1145
58,99.43044667,364067.2923
59,96.79986071,334107.7778
60,97.18082968,335765.1521
61,97.95495112,341885.2862
62,98.55164493,346225.9817
63,98.18292848,341918.7149
64,98.21865828,343256.5934
65,98.82158068,349238.9007
66,98.93865541,353192.3935
67,98.22986695,344279.9816
68,98.431012,345406.3263
69,95.88524034,331094.8044
70,96.03567086,331094.9914
71,96.13581464,331456.4832
72,97.67078858,339799.7926
73,98.23731017,345266.8747
74,98.33291672,345283.9614
75,95.88371811,330426.3026
76,96.46398736,332240.4135
77,97.35534054,336827.3895
78,97.22514105,336037.5253
79,97.90988547,341751.2357
80,97.76745597,340211.8567
81,95.80513598,329923.8112
82,97.83498728,341272.5674
83,97.34070339,336042.5591
84,98.19949944,342223.8479
85,97.76688979,340209.2589
86,95.73028654,329194.0078
87,98.52538472,345664.8418
88,97.83499912,341276.3669
89,95.76940949,329791.6349
90,96.46398949,332242.3073
91,97.35138518,336317.4969
92,97.65525178,339281.4013
93,97.64408599,338771.1347
94,96.08961777,331206.7954
95,96.0952578,331219.5757
96,96.13116736,331439.4187
97,97.64861387,339197.0127
98,98.55139083,345994.3235
99,98.52992102,345854.3426
